category	extensions	mimes	name	pattern	patternVariant
spreadsheet	.wk1		Lotus 1-2-3 Spreadsheet (V1) File	"[{""fromIndex"":0,""hex"":""00 00 02 00 06 04 06 00 08 00 00 00 00 00""}]"	
spreadsheet	.wk3		Lotus 1-2-3 Spreadsheet (V3) File	"[{""fromIndex"":0,""hex"":""00 00 1A 00 00 10 04 00 00 00 00 00""}]"	
spreadsheet	.wk4, .wk5		Lotus 1-2-3 Spreadsheet (V4 / V5) File	"[{""fromIndex"":0,""hex"":""00 00 1A 00 02 10 04 00 00 00 00 00""}]"	
spreadsheet	.123	application/vnd.lotus-1-2-3	Lotus 1-2-3 Spreadsheet (V9) File	"[{""fromIndex"":0,""hex"":""00 00 1A 00 05 10 04""}]"	
executable			Amiga Hunk Executable	"[{""fromIndex"":0,""hex"":""00 00 03 F3""}]"	
document	.qxd	application/vnd.quark.quarkxpress	Quark Express Document	"[{""fromIndex"":0,""hex"":""00 00 4D 4D 58 50 52""}]"	BE
document	.qxd	application/vnd.quark.quarkxpress	Quark Express Document	"[{""fromIndex"":0,""hex"":""00 00 49 49 58 50 52""}]"	LE
database	.psafe3		Password Gorilla Password Database	"[{""fromIndex"":0,""hex"":""50 57 53 33""}]"	
other	.pcap	application/vnd.tcpdump.pcap	Libpcap File	"[{""fromIndex"":0,""hex"":""A1 B2 C3 D4""}]"	BE
other	.pcap	application/vnd.tcpdump.pcap	Libpcap File	"[{""fromIndex"":0,""hex"":""D4 C3 B2 A1""}]"	LE
other	.pcap	application/vnd.tcpdump.pcap	Libpcap File	"[{""fromIndex"":0,""hex"":""A1 B2 3C 4D""}]"	Nanosecond Resolution, BE
other	.pcap	application/vnd.tcpdump.pcap	Libpcap File	"[{""fromIndex"":0,""hex"":""4D 3C B2 A1""}]"	Nanosecond Resolution, LE
other	.pcapng	application/x-pcapng	PCAP Next Generation Dump File	"[{""fromIndex"":0,""hex"":""0A 0D 0D 0A""}]"	
package	.rpm	application/x-redhat-package-manager, application/x-rpm	RedHat Package Manager (RPM) Package	"[{""fromIndex"":0,""hex"":""ED AB EE DB""}]"	
package	.bin		Amazon Kindle Update Package	"[{""fromIndex"":0,""hex"":""53 50 30 31""}]"	
other	.wad	application/x-doom	Internal WAD	"[{""fromIndex"":0,""hex"":""49 57 41 44""}]"	
other	.pdb	application/vnd.palm, application/x-pilot	PalmPilot Database/Document File	"[{""fromIndex"":11,""hex"":""00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00""}]"	
archive	.dba		Palm Desktop Calendar Archive	"[{""fromIndex"":0,""hex"":""BE BA FE CA""}]"	
archive	.dba		Palm Desktop To Do Archive	"[{""fromIndex"":0,""hex"":""00 01 42 44""}]"	
archive	.tda		Palm Desktop Calendar Archive	"[{""fromIndex"":0,""hex"":""00 01 44 54""}]"	
other	.tdf$		Telegram Desktop File	"[{""fromIndex"":0,""hex"":""54 44 46 24""}]"	
other	.tdef		Telegram Desktop Encrypted File	"[{""fromIndex"":0,""hex"":""54 44 45 46""}]"	
image	.ico	image/vnd.microsoft.icon, image/x-icon, image/ico	Computer Icons	"[{""fromIndex"":0,""hex"":""00 00 01 00""}]"	
image	.icns	image/x-icns	Apple Icon Image	"[{""fromIndex"":0,""hex"":""69 63 6E 73""}]"	
image	.heic	image/heic	High Efficiency Image Container (HEIC)	"[{""fromIndex"":4,""hex"":""66 74 79 70 68 65 69 63""}]"	
archive	.lzh	application/x-lzh-compressed	Lempel Ziv Huffman Archive	"[{""fromIndex"":2,""hex"":""2D 68 6C 30 2D""}]"	Method 0 (No Compression)
archive	.lzh	application/x-lzh-compressed	Lempel Ziv Huffman Archive	"[{""fromIndex"":2,""hex"":""2D 68 6C 35 2D""}]"	Method 5 (8 KiB Sliding Window)
other	.bac		AmiBack Amiga Backup Data File	"[{""fromIndex"":0,""hex"":""42 41 43 4B 4D 49 4B 45 44 49 53 4B""}]"	
other	.idx		AmiBack Amiga Backup Index File	"[{""fromIndex"":0,""hex"":""49 4E 44 58""}]"	
other	.plist		Binary Property List File	"[{""fromIndex"":0,""hex"":""62 70 6C 69 73 74""}]"	
compressed	.bz2	application/x-bzip2	BZip2 Archive	"[{""fromIndex"":0,""hex"":""42 5A 68""}]"	
other	.vdr		VirtualDub	"[{""fromIndex"":0,""hex"":""52 49 46 46""},{""fromIndex"":8,""hex"":""56 44 52 4D""}]"	
other	.trd		TrID	"[{""fromIndex"":0,""hex"":""52 59 46 46""},{""fromIndex"":8,""hex"":""54 52 49 44""}]"	
presentation	.shw	application/x-corelpresentations	Corel SHOW! 4.0	"[{""fromIndex"":0,""hex"":""52 49 46 46""},{""fromIndex"":8,""hex"":""73 68 77 34""}]"	
presentation	.shw	application/x-corelpresentations	Corel SHOW! 5.0	"[{""fromIndex"":0,""hex"":""52 49 46 46""},{""fromIndex"":8,""hex"":""73 68 77 35""}]"	
other	.shb		Corel SHOW! 5.0 Background	"[{""fromIndex"":0,""hex"":""52 49 46 46""},{""fromIndex"":8,""hex"":""73 68 62 35""}]"	
other	.shr		Corel SHOW! 5.0 Player	"[{""fromIndex"":0,""hex"":""52 49 46 46""},{""fromIndex"":8,""hex"":""73 68 72 35""}]"	
other	.dcr	application/x-director	Adobe Shockwave File	"[{""fromIndex"":0,""hex"":""52 49 46 58""},{""fromIndex"":8,""hex"":""46 47 44 4D""}]"	BE
other	.dcr	application/x-director	Adobe Shockwave File	"[{""fromIndex"":0,""hex"":""58 46 49 52""},{""fromIndex"":8,""hex"":""4D 44 47 46""}]"	LE
video	.mmm		Multimedia Movie	"[{""fromIndex"":0,""hex"":""52 49 46 46""},{""fromIndex"":8,""hex"":""52 4D 4D 50""}]"	
other	.mny	application/x-msmoney	Microsoft Money File	"[{""fromIndex"":0,""hex"":""00 01 00 00 4D 53 49 53 41 4D 20 44 61 74 61 62 61 73 65""}]"	
database	.accdb	application/x-msaccess	Microsoft Access 2007 Database	"[{""fromIndex"":0,""hex"":""00 01 00 00 53 74 61 6E 64 61 72 64 20 41 43 45 20 44 42""}]"	
database	.mdb	application/x-msaccess	Microsoft Access Database	"[{""fromIndex"":0,""hex"":""00 01 00 00 53 74 61 6E 64 61 72 64 20 4A 65 74 20 44 42""}]"	
other	.swf	application/x-shockwave-flash	Adobe Flash File	"[{""fromIndex"":0,""hex"":""43 57 53""}]"	C
other	.swf	application/x-shockwave-flash	Adobe Flash File	"[{""fromIndex"":0,""hex"":""46 57 53""}]"	F
document	.indd	application/x-indesign	Adobe InDesign Document	"[{""fromIndex"":0,""hex"":""06 06 ED F5 D8 1D 46 E5 BD 31 EF E7 FE 74 B7 1D""}]"	
archive	.zlib		ZLib Archive	"[{""fromIndex"":0,""hex"":""78 01""}]"	No Compression Without Preset Dictionary
archive	.zlib		ZLib Archive	"[{""fromIndex"":0,""hex"":""78 5E""}]"	Best Speed Without Preset Dictionary
archive	.zlib		ZLib Archive	"[{""fromIndex"":0,""hex"":""78 9C""}]"	Default Compression Without Preset Dictionary
archive	.zlib		ZLib Archive	"[{""fromIndex"":0,""hex"":""78 DA""}]"	Best Compression Without Preset Dictionary
archive	.zlib		ZLib Archive	"[{""fromIndex"":0,""hex"":""78 20""}]"	No Compression With Preset Dictionary
archive	.zlib		ZLib Archive	"[{""fromIndex"":0,""hex"":""78 7D""}]"	Best Speed With Preset Dictionary
archive	.zlib		ZLib Archive	"[{""fromIndex"":0,""hex"":""78 BB""}]"	Default Compression With Preset Dictionary
archive	.zlib		ZLib Archive	"[{""fromIndex"":0,""hex"":""78 F9""}]"	Best Compression With Preset Dictionary
archive	.zoo	application/x-zoo	Zoo File	"[{""fromIndex"":0,""hex"":""5A 4F 4F""}]"	
image	.pbm	image/x-portable-bitmap	Portable Bitmap ASCII	"[{""fromIndex"":0,""hex"":""50 31 0A""}]"	
image	.pbm	image/x-portable-bitmap	Portable Bitmap Binary	"[{""fromIndex"":0,""hex"":""50 34 0A""}]"	
other	.pgm	image/x-portable-graymap	Portable Gray Map ASCII	"[{""fromIndex"":0,""hex"":""50 32 0A""}]"	
image	.pgm	image/x-portable-graymap	Portable Gray Map Binary	"[{""fromIndex"":0,""hex"":""50 35 09""}]"	Tab
image	.pgm	image/x-portable-graymap	Portable Gray Map Binary	"[{""fromIndex"":0,""hex"":""50 35 0A""}]"	LF
image	.pgm	image/x-portable-graymap	Portable Gray Map Binary	"[{""fromIndex"":0,""hex"":""50 35 0D""}]"	CR
image	.pgm	image/x-portable-graymap	Portable Gray Map Binary	"[{""fromIndex"":0,""hex"":""50 35 20""}]"	Space
image	.ppm	image/x-portable-pixmap	Portable Pixmap ASCII	"[{""fromIndex"":0,""hex"":""50 33 09""}]"	Tab
image	.ppm	image/x-portable-pixmap	Portable Pixmap ASCII	"[{""fromIndex"":0,""hex"":""50 33 0A""}]"	LF
image	.ppm	image/x-portable-pixmap	Portable Pixmap ASCII	"[{""fromIndex"":0,""hex"":""50 33 0D""}]"	CR
image	.ppm	image/x-portable-pixmap	Portable Pixmap ASCII	"[{""fromIndex"":0,""hex"":""50 33 20""}]"	Space
image	.ppm	image/x-portable-pixmap	Portable Pixmap Binary	"[{""fromIndex"":0,""hex"":""50 36 09""}]"	Tab
image	.ppm	image/x-portable-pixmap	Portable Pixmap Binary	"[{""fromIndex"":0,""hex"":""50 36 0A""}]"	LF
image	.ppm	image/x-portable-pixmap	Portable Pixmap Binary	"[{""fromIndex"":0,""hex"":""50 36 0D""}]"	CR
image	.ppm	image/x-portable-pixmap	Portable Pixmap Binary	"[{""fromIndex"":0,""hex"":""50 36 20""}]"	Space
image	.j2c, .j2k, .jp2, .jpc, .jpf, .jpg2, .jpm, .jpx, .mj2	image/jp2, image/jpm, image/jpx, image/mj2, image/x-jp2-codestream, video/mj2	JPEG 2000 Image	"[{""fromIndex"":0,""hex"":""00 00 00 0C 6A 50 20 20 0D 0A 87 0A""}]"	Long
image	.j2c, .j2k, .jp2, .jpc, .jpf, .jpg2, .jpm, .jpx, .mj2	image/jp2, image/jpm, image/jpx, image/mj2, image/x-jp2-codestream, video/mj2	JPEG 2000 Image	"[{""fromIndex"":0,""hex"":""FF 4F FF 51""}]"	Short
other	.hl7		Electronic Data Exchange Health Level Seven (HL7) Standard File	"[{""fromIndex"":0,""hex"":""42 53 48 7C""}]"	B
other	.hl7		Electronic Data Exchange Health Level Seven (HL7) Standard File	"[{""fromIndex"":0,""hex"":""4D 53 48 7C""}]"	M
database	.sqlitedb, .sqlite, .db	application/vnd.sqlite3	SQLite Database	"[{""fromIndex"":0,""hex"":""53 51 4C 69 74 65 20 66 6F 72 6D 61 74 20 33 00""}]"	
image	.pic	image/x-pict	IBM Storyboard Bitmap File	"[{""fromIndex"":0,""hex"":""00""}]"	
video	.mov	video/quicktime	Apple QuickTime Movie File	"[{""fromIndex"":4,""hex"":""66 74 79 70 71 74""}]"	ftypqt
video	.mov	video/quicktime	Apple QuickTime Movie File	"[{""fromIndex"":4,""hex"":""66 72 65 65""}]"	free
video	.mov	video/quicktime	Apple QuickTime Movie File	"[{""fromIndex"":4,""hex"":""6D 64 61 74""}]"	mdat
video	.mov	video/quicktime	Apple QuickTime Movie File	"[{""fromIndex"":4,""hex"":""6D 6F 6F 76""}]"	moov
video	.mov	video/quicktime	Apple QuickTime Movie File	"[{""fromIndex"":4,""hex"":""73 6B 69 70""}]"	skip
video	.mov	video/quicktime	Apple QuickTime Movie File	"[{""fromIndex"":4,""hex"":""77 69 64 65""}]"	wide
other	.pif		Windows Program Information File	"[{""fromIndex"":0,""hex"":""00""}]"	
archive	.sea	application/x-sea	Mac Stuffit Self-Extracting Archive	"[{""fromIndex"":0,""hex"":""00""}]"	
other	.ytr		IRIS OCR Data File	"[{""fromIndex"":0,""hex"":""00""}]"	
other			Palm Desktop Data File (Access Format)	"[{""fromIndex"":0,""hex"":""00 01 00 00""}]"	
video	.3gp	video/3gpp	3rd Generation Partnership Project Multimedia File	"[{""fromIndex"":4,""hex"":""66 74 79 70 33 67 65""}]"	e
